mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.002291520436604818,0.0016312700739501069,0.0011072158813476562,0.0009509799765577544,1,{'max_depth': 1},-0.3165075034106412,-0.3296928327645051,-0.32627986348122867,-0.324160066552125,0.0055876877631655065,1
0.005867481231689453,0.0068102007997648435,0.006898085276285808,0.0020329124951728,2,{'max_depth': 2},-0.3165075034106412,-0.3296928327645051,-0.32627986348122867,-0.324160066552125,0.0055876877631655065,1
0.0006684462229410807,0.0009453257142003459,0.002318223317464193,0.00327846285616741,3,{'max_depth': 3},-0.3165075034106412,-0.3296928327645051,-0.3392491467576792,-0.3284831609776085,0.009323556721372644,3
0.007262865702311198,0.008163099736105373,0.0010403792063395183,0.000848947426441278,4,{'max_depth': 4},-0.3178717598908595,-0.3372013651877133,-0.3324232081911263,-0.32916544442323303,0.008220631719788478,4
